"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.860553700E-2,-1.034895778E-1,1.202393398E-1,9.805189133E0,9.806472430E0
2.106902600E-2,-1.034895778E-1,1.298106313E-1,9.809974670E0,9.811379308E0
2.353246400E-2,-8.434699476E-2,1.298106313E-1,9.809974670E0,9.811196066E0
2.599595400E-2,-8.434699476E-2,1.393819153E-1,9.790832520E0,9.792187864E0
2.845939100E-2,-8.434699476E-2,1.345962733E-1,9.805189133E0,9.806475641E0
3.092288100E-2,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
3.338631800E-2,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
3.584975600E-2,-9.391828626E-2,1.250249892E-1,9.809974670E0,9.811220868E0
3.831324500E-2,-9.332008660E-2,1.345962733E-1,9.790832520E0,9.792202317E0
4.077668300E-2,-9.810572863E-2,1.298106313E-1,9.790832520E0,9.792184484E0
4.324017200E-2,-8.853443712E-2,1.202393398E-1,9.805189133E0,9.806326008E0
4.570366200E-2,-9.391828626E-2,1.345962733E-1,9.800403595E0,9.801777769E0
4.816709900E-2,-9.810572863E-2,1.298106313E-1,9.781260490E0,9.782613777E0
5.063053700E-2,-1.076770201E-1,1.250249892E-1,9.790832520E0,9.792222782E0
5.309402600E-2,-9.870393574E-2,1.393819153E-1,9.809974670E0,9.811461299E0
5.555746400E-2,-8.913264424E-2,1.393819153E-1,9.809974670E0,9.811369679E0
5.802095400E-2,-9.332008660E-2,1.250249892E-1,9.800403595E0,9.801645296E0
6.048439100E-2,-1.028913707E-1,1.202393398E-1,9.800403595E0,9.801681221E0
6.294788100E-2,-9.870393574E-2,1.250249892E-1,9.805189133E0,9.806482939E0
6.541131800E-2,-8.374879509E-2,1.250249892E-1,9.790832520E0,9.791988896E0
6.787480800E-2,-9.332008660E-2,1.345962733E-1,9.790832520E0,9.792202317E0
7.033824500E-2,-8.374879509E-2,1.298106313E-1,9.795618057E0,9.796836111E0
7.280173500E-2,-8.374879509E-2,1.298106313E-1,9.790832520E0,9.792051168E0
7.526517200E-2,-8.374879509E-2,1.345962733E-1,9.786046028E0,9.787329916E0
7.772866200E-2,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
8.019209900E-2,-8.913264424E-2,1.393819153E-1,9.800403595E0,9.801799966E0
8.265558900E-2,-8.913264424E-2,1.495514214E-1,9.805189133E0,9.806734634E0
8.511902600E-2,-9.810572863E-2,1.250249892E-1,9.790832520E0,9.792122212E0
8.758251600E-2,-8.374879509E-2,1.250249892E-1,9.795618057E0,9.796773869E0
9.004595400E-2,-7.896314561E-2,1.250249892E-1,9.786046028E0,9.787163189E0
9.250944300E-2,-8.374879509E-2,1.250249892E-1,9.800403595E0,9.801558842E0
9.497288100E-2,-7.896314561E-2,1.202393398E-1,9.805189133E0,9.806244266E0
9.743637000E-2,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
9.989980800E-2,-9.332008660E-2,1.345962733E-1,9.790832520E0,9.792202317E0
1.023632970E-1,-9.810572863E-2,1.250249892E-1,9.800403595E0,9.801692028E0
1.048267350E-1,-8.853443712E-2,1.154536903E-1,9.790832520E0,9.791913466E0
1.072902240E-1,-1.034895778E-1,1.345962733E-1,9.800403595E0,9.801874151E0
1.097536620E-1,-8.853443712E-2,1.250249892E-1,9.795618057E0,9.796815948E0
1.122171510E-1,-8.434699476E-2,1.250249892E-1,9.805189133E0,9.806348943E0
1.146805890E-1,-8.853443712E-2,1.250249892E-1,9.795618057E0,9.796815948E0
1.171440790E-1,-9.391828626E-2,1.393819153E-1,9.805189133E0,9.806629487E0
1.196075160E-1,-9.870393574E-2,1.393819153E-1,9.809974670E0,9.811461299E0
1.220710060E-1,-9.870393574E-2,1.345962733E-1,9.805189133E0,9.806609636E0
1.245344430E-1,-1.034895778E-1,1.345962733E-1,9.800403595E0,9.801874151E0
1.269979330E-1,-8.434699476E-2,1.393819153E-1,9.814760208E0,9.816112249E0
1.294613700E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
1.319248600E-1,-9.810572863E-2,1.298106313E-1,9.795618057E0,9.796969361E0
1.343882970E-1,-9.332008660E-2,1.250249892E-1,9.800403595E0,9.801645296E0
1.368517870E-1,-9.870393574E-2,1.250249892E-1,9.805189133E0,9.806482939E0
1.393152240E-1,-1.034895778E-1,1.345962733E-1,9.795618057E0,9.797089332E0
1.417787140E-1,-1.028913707E-1,1.250249892E-1,9.786046028E0,9.787385491E0
1.442421510E-1,-8.913264424E-2,1.298106313E-1,9.805189133E0,9.806453455E0
1.467056410E-1,-7.477571070E-2,1.298106313E-1,9.805189133E0,9.806333471E0
1.491690790E-1,-8.913264424E-2,1.393819153E-1,9.809974670E0,9.811369679E0
1.516325680E-1,-8.913264424E-2,1.298106313E-1,9.819545746E0,9.820808219E0
1.540960060E-1,-9.332008660E-2,1.298106313E-1,9.781260490E0,9.782566955E0
1.565594950E-1,-9.332008660E-2,1.298106313E-1,9.795618057E0,9.796922607E0
1.590229330E-1,-1.034895778E-1,1.393819153E-1,9.805189133E0,9.806725822E0
1.614864220E-1,-9.870393574E-2,1.345962733E-1,9.809974670E0,9.811394481E0
1.639498600E-1,-9.391828626E-2,1.250249892E-1,9.805189133E0,9.806435939E0
1.664133490E-1,-9.810572863E-2,1.202393398E-1,9.805189133E0,9.806417091E0
1.688767870E-1,-9.391828626E-2,1.250249892E-1,9.809974670E0,9.811220868E0
1.713402760E-1,-1.034895778E-1,1.393819153E-1,9.809974670E0,9.811510610E0
1.738037140E-1,-7.417750359E-2,1.298106313E-1,9.790832520E0,9.791973985E0
1.762672040E-1,-9.870393574E-2,1.250249892E-1,9.800403595E0,9.801698033E0
1.787306410E-1,-8.434699476E-2,1.345962733E-1,9.809974670E0,9.811260551E0
1.811941310E-1,-9.391828626E-2,1.298106313E-1,9.800403595E0,9.801713221E0
1.836575680E-1,-1.034895778E-1,1.495514214E-1,9.814760208E0,9.816445062E0
1.861210580E-1,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
1.885844950E-1,-8.853443712E-2,1.298106313E-1,9.790832520E0,9.792093268E0
1.910479850E-1,-8.913264424E-2,1.393819153E-1,9.795618057E0,9.797015110E0
1.935114220E-1,-9.391828626E-2,1.298106313E-1,9.809974670E0,9.811283019E0
1.959749120E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
1.984383490E-1,-8.853443712E-2,1.298106313E-1,9.786046028E0,9.787307393E0
2.009018390E-1,-8.434699476E-2,1.250249892E-1,9.809974670E0,9.811133915E0
2.033652760E-1,-1.034895778E-1,1.202393398E-1,9.800403595E0,9.801687519E0
2.058287660E-1,-9.332008660E-2,1.202393398E-1,9.790832520E0,9.792015501E0
2.082922040E-1,-9.332008660E-2,1.202393398E-1,9.800403595E0,9.801585421E0
2.107556930E-1,-1.130608693E-1,1.345962733E-1,9.800403595E0,9.801979879E0
2.132191310E-1,-9.332008660E-2,1.058823988E-1,9.805189133E0,9.806204855E0
2.156826200E-1,-7.896314561E-2,1.298106313E-1,9.790832520E0,9.792011407E0
2.181460580E-1,-9.391828626E-2,1.250249892E-1,9.805189133E0,9.806435939E0
2.206095470E-1,-7.956135273E-2,1.250249892E-1,9.805189133E0,9.806308948E0
2.230729850E-1,-6.939185411E-2,1.250249892E-1,9.795618057E0,9.796661656E0
2.255364740E-1,-9.332008660E-2,1.250249892E-1,9.786046028E0,9.787289551E0
2.279999120E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
2.304634010E-1,-9.870393574E-2,1.345962733E-1,9.795618057E0,9.797039948E0
2.329268390E-1,-8.853443712E-2,1.154536903E-1,9.805189133E0,9.806268497E0
2.353903290E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
2.378537660E-1,-7.417750359E-2,1.202393398E-1,9.800403595E0,9.801421857E0
2.403172560E-1,-7.956135273E-2,1.345962733E-1,9.800403595E0,9.801650718E0
2.427806930E-1,-8.434699476E-2,1.447657645E-1,9.809974670E0,9.811405331E0
2.452441830E-1,-9.810572863E-2,1.298106313E-1,9.790832520E0,9.792184484E0
2.477076200E-1,-8.434699476E-2,1.447657645E-1,9.786046028E0,9.787480187E0
2.501711100E-1,-7.956135273E-2,1.393819153E-1,9.790832520E0,9.792147811E0
2.526345470E-1,-9.391828626E-2,1.393819153E-1,9.800403595E0,9.801844652E0
2.550980370E-1,-1.130608693E-1,1.393819153E-1,9.809974670E0,9.811616233E0
2.575614740E-1,-8.913264424E-2,1.345962733E-1,9.795618057E0,9.796948194E0
2.600249640E-1,-8.913264424E-2,1.298106313E-1,9.800403595E0,9.801668534E0
2.624884010E-1,-8.913264424E-2,1.393819153E-1,9.795618057E0,9.797015110E0
2.649518910E-1,-9.391828626E-2,1.202393398E-1,9.805189133E0,9.806376093E0
2.674153290E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
2.698788180E-1,-7.956135273E-2,1.345962733E-1,9.800403595E0,9.801650718E0
2.723422560E-1,-9.391828626E-2,1.393819153E-1,9.790832520E0,9.792274985E0
2.748057450E-1,-8.434699476E-2,1.447657645E-1,9.805189133E0,9.806620492E0
2.772691830E-1,-8.913264424E-2,1.393819153E-1,9.805189133E0,9.806584822E0
2.797326720E-1,-9.391828626E-2,1.250249892E-1,9.805189133E0,9.806435939E0
2.821961100E-1,-9.391828626E-2,1.345962733E-1,9.800403595E0,9.801777769E0
2.846595990E-1,-7.956135273E-2,1.298106313E-1,9.805189133E0,9.806371130E0
2.871230370E-1,-8.374879509E-2,1.106680483E-1,9.795618057E0,9.796601166E0
2.895865260E-1,-9.391828626E-2,1.345962733E-1,9.805189133E0,9.806562636E0
2.920499640E-1,-9.391828626E-2,1.202393398E-1,9.805189133E0,9.806376093E0
2.945134540E-1,-1.028913707E-1,1.250249892E-1,9.790832520E0,9.792171328E0
2.969768910E-1,-9.332008660E-2,1.202393398E-1,9.790832520E0,9.792015501E0
2.994403810E-1,-9.391828626E-2,1.250249892E-1,9.800403595E0,9.801651010E0
3.019038180E-1,-9.870393574E-2,1.393819153E-1,9.795618057E0,9.797106864E0
3.043673080E-1,-9.870393574E-2,1.298106313E-1,9.809974670E0,9.811329997E0
3.068307450E-1,-8.434699476E-2,1.202393398E-1,9.805189133E0,9.806289096E0
3.092942350E-1,-8.853443712E-2,1.250249892E-1,9.786046028E0,9.787245090E0
